Row;Arabidopsis thaliana;Brachypodium distachyon;Musa acuminata;Oryza sativa;Phoenix dactylifera;Sorghum bicolor
4403;1;1;1;1;1;1
12361;1;1;0;1;1;1
20040;0;0;0;1;0;0
15595;0;1;0;1;0;1
22653;0;0;0;1;1;0
22803;0;0;0;1;0;1
19019;0;0;0;0;0;1
8789;1;1;1;1;1;1
4336;1;1;1;1;1;1
19413;0;0;0;0;1;0
22084;0;1;0;1;0;0
15253;0;0;0;1;0;0
850;1;1;1;1;1;1
17320;0;1;0;1;0;1
380;1;1;1;1;1;1
16982;0;1;0;1;0;1
21012;0;0;0;1;0;0
7393;1;1;1;1;0;1
6154;1;1;1;1;1;1
19141;0;0;0;0;0;1
19205;0;0;0;0;0;1
4606;1;1;1;1;1;1
6972;0;1;1;1;1;1
21466;0;0;1;0;1;0
16446;0;1;0;1;0;1
16579;0;1;0;1;0;1
12466;0;0;1;0;1;0
16346;0;1;0;1;0;1
21445;0;0;0;1;0;1
18915;1;0;0;0;0;0
1266;1;1;1;1;1;1
10385;1;1;1;1;1;1
6596;0;1;0;0;0;0
16538;0;1;0;1;0;1
19509;0;0;0;0;1;0
10744;1;0;0;0;0;0
15688;0;1;0;1;0;1
3563;1;1;1;1;1;1
258;1;1;1;1;1;1
9381;1;1;1;1;1;1
8667;1;1;1;1;1;1
511;0;0;0;1;0;1
17168;0;1;0;1;0;1
19847;0;0;0;1;0;0
17645;0;1;0;1;0;1
10335;1;1;1;1;1;1
22773;0;0;0;1;0;1
16565;0;1;0;1;0;1
21714;0;0;1;0;1;0
11288;1;1;1;1;0;1
1212;1;1;1;1;1;1
10759;1;0;0;0;0;0
8229;1;1;1;1;1;1
2778;1;1;1;1;1;1
8759;1;1;1;1;1;1
22121;0;1;0;1;0;0
11692;1;1;1;1;0;1
14255;0;0;0;0;1;0
12201;0;1;1;1;1;1
10591;0;0;1;0;1;0
10839;0;0;0;1;0;1
550;1;1;1;1;1;1
15260;0;0;0;1;0;0
11058;0;0;0;1;0;0
11867;1;1;1;1;0;1
12599;0;0;1;1;0;0
1289;1;1;1;1;1;1
17017;0;1;0;1;0;1
240;0;0;0;1;0;0
2277;0;1;1;1;1;1
2450;1;1;1;1;1;1
18756;1;0;0;0;0;0
5176;1;1;1;1;0;1
18650;1;0;0;0;0;0
8870;1;1;1;1;1;1
18830;1;0;0;0;0;0
22615;0;0;0;1;0;1
9322;1;1;1;1;1;1
18251;0;0;1;0;0;0
19867;0;0;0;1;0;0
9134;1;1;1;1;1;1
474;1;1;1;1;1;1
22013;0;1;0;0;0;1
5963;1;1;1;1;1;1
400;0;0;0;0;0;1
5259;1;1;1;1;0;1
3746;0;0;1;1;1;1
15670;0;1;0;1;0;1
14647;0;0;0;1;0;1
22799;0;0;0;1;0;1
11292;0;1;1;1;1;1
19977;0;0;0;1;0;0
13181;0;1;0;1;0;1
22905;0;0;0;1;0;1
1560;0;1;1;1;1;1
17665;0;1;0;1;0;1
10485;0;1;0;1;0;1
16006;1;0;1;0;1;0
9837;1;1;1;1;1;1
12821;0;1;0;0;0;1
9577;1;1;1;1;1;1
10492;0;1;0;1;1;1
13962;0;1;0;1;1;1
3981;1;1;1;1;1;1
1094;1;1;1;1;1;1
16014;1;0;1;0;1;0
20036;0;0;0;1;0;0
778;1;1;1;1;1;1
3831;1;1;1;1;1;1
9784;1;1;1;1;1;1
13525;0;1;0;1;1;1
7020;1;1;1;0;1;1
18470;1;0;0;0;0;0
14467;1;0;0;0;0;0
10312;1;1;1;1;1;1
3096;1;1;1;1;0;1
16958;0;1;0;1;0;1
9864;1;1;1;1;1;1
17587;0;1;0;1;0;1
21281;0;0;0;1;0;1
14767;0;0;0;0;0;1
5235;1;1;1;1;1;1
17740;0;0;0;0;1;0
12769;1;0;1;0;1;0
11515;0;1;1;1;1;1
22209;0;1;0;0;0;1
5575;0;1;1;0;1;1
19791;0;0;0;1;0;0
5489;1;1;1;1;1;1
20370;1;0;0;0;0;0
22866;0;0;0;1;0;1
2820;1;1;1;1;0;1
21916;0;1;0;0;0;1
6913;1;1;1;1;0;1
19506;0;0;0;0;1;0
2608;1;1;1;1;1;1
869;1;1;1;1;1;1
21628;0;0;1;0;1;0
13991;0;1;0;1;0;1
2901;1;1;1;1;1;1
21123;0;0;0;1;0;1
423;1;1;1;1;1;1
17600;0;1;0;1;0;1
8304;1;1;1;1;1;1
1087;1;1;1;1;1;1
11941;0;1;1;1;1;1
16779;0;1;0;1;0;1
1902;1;1;1;1;1;1
16452;0;1;0;1;0;1
9296;1;1;1;1;1;1
9484;1;1;1;1;1;1
12779;1;0;0;0;0;0
15987;1;0;1;0;1;0
4478;1;1;1;1;1;0
15668;0;1;0;1;0;1
22502;0;1;0;1;0;0
7930;1;1;1;1;1;1
6467;1;1;1;1;1;1
16064;0;0;1;0;1;1
6763;1;1;1;1;1;1
9038;1;1;1;1;1;1
13457;0;1;1;1;0;1
8970;1;1;1;1;1;1
14424;1;0;0;0;0;0
296;1;1;1;1;1;1
13583;0;1;0;1;1;1
12210;1;1;1;1;0;1
7512;1;1;1;1;0;1
9977;1;1;1;1;1;1
18602;1;0;0;0;0;0
16572;0;1;0;1;0;1
20117;0;0;0;1;0;0
19282;0;0;0;0;0;1
12354;1;1;0;1;1;1
22534;0;1;0;1;0;0
4677;1;1;0;1;1;1
20534;0;0;0;0;0;1
15720;0;1;0;1;0;1
21403;0;0;1;0;1;0
8372;1;1;1;1;1;1
16217;1;0;1;0;1;0
14120;0;1;0;1;0;0
2363;1;1;1;1;1;1
16902;0;1;0;1;0;1
15985;0;1;0;1;0;1
15840;0;1;0;1;0;1
22709;0;0;0;1;0;1
4366;1;1;1;1;1;1
6576;0;0;0;0;1;0
21635;0;0;1;0;1;0
17929;0;0;1;0;0;0
22424;0;1;0;1;0;0
390;1;1;1;1;1;1
3006;1;1;1;1;1;1
2398;1;1;1;0;1;1
8613;1;1;1;1;1;1
7418;1;0;1;1;1;0
5335;1;1;1;1;1;1
4495;1;1;1;1;0;1
14018;0;1;0;1;0;1
22244;0;1;0;1;0;0
12595;0;0;1;0;0;0
21204;0;0;0;1;0;1
6511;1;1;1;1;1;1
3177;1;1;1;1;1;1
2777;1;1;1;1;1;1
3822;1;1;1;1;1;1
1595;1;1;1;1;1;1
16650;0;1;0;1;0;1
15574;0;1;0;1;0;1
21463;0;0;1;0;1;0
7186;0;1;1;1;1;1
8052;1;1;1;1;1;1
14496;1;0;1;0;0;0
8993;1;1;1;1;1;1
8212;1;1;1;1;1;1
3342;1;1;1;1;1;1
14442;1;0;0;0;0;0
11352;1;1;1;1;0;1
21932;0;1;0;0;0;1
6485;0;0;0;0;0;1
14427;1;0;1;0;0;0
14801;0;0;0;0;1;0
2996;1;1;1;1;1;1
20303;1;0;0;0;0;0
18323;0;0;1;0;0;0
10937;0;1;0;1;0;0
19021;0;0;0;0;0;1
16436;0;1;0;1;0;1
14757;0;0;0;0;0;1
18698;1;0;0;0;0;0
16493;0;1;0;1;1;0
9417;1;1;1;1;1;1
19115;0;0;0;0;1;0
10668;1;0;1;0;1;0
7598;1;1;1;1;0;1
14173;0;0;1;0;0;0
13672;1;1;1;0;1;0
13029;0;1;0;0;1;1
5591;1;1;1;1;1;1
17326;0;1;0;1;0;1
21052;0;0;0;1;0;0
21243;0;0;0;1;0;1
10560;1;1;1;1;0;1
14100;0;0;0;1;0;1
20174;0;0;1;0;0;0
20999;0;0;0;1;0;0
11082;0;0;0;0;0;1
8769;1;1;1;1;1;1
22571;0;1;0;0;0;1
9928;1;1;1;1;1;1
4819;1;1;1;1;1;1
6314;1;1;1;1;1;1
7978;1;1;1;1;1;1
22562;0;1;0;1;0;0
14959;0;0;0;1;0;0
14132;0;0;0;1;0;0
18136;0;0;1;0;0;0
10651;0;0;1;0;0;0
3359;1;1;1;1;0;1
9760;1;1;1;1;1;1
15286;0;0;0;1;0;0
4242;1;1;1;1;1;1
10749;1;0;1;0;1;1
12232;1;1;1;1;0;1
11640;1;1;1;1;0;1
1859;1;1;1;1;1;1
22933;0;0;0;1;0;1
19146;0;0;0;0;0;1
2077;1;1;1;1;1;1
16788;0;1;0;1;0;1
10901;0;1;1;1;0;1
5828;1;1;1;1;1;1
15984;0;1;0;1;0;1
15372;0;1;0;1;0;1
14549;0;0;0;1;0;1
18800;1;0;0;0;0;0
19279;0;0;0;0;0;1
18817;0;0;0;0;1;0
6538;1;1;1;1;1;1
21888;0;0;0;0;1;1
16410;0;1;0;1;0;1
16089;0;1;1;0;1;0
19942;0;0;0;1;0;0
16359;0;0;0;1;1;1
7639;0;0;0;0;0;1
18820;1;0;0;0;0;0
4628;1;1;1;1;1;1
2738;1;0;1;1;1;1
13530;1;0;1;1;0;1
7874;0;1;1;1;1;1
3627;1;1;1;1;1;1
14516;1;0;0;0;0;0
1239;1;1;1;1;1;1
19364;0;0;0;0;0;1
9681;0;1;1;1;1;1
15923;0;1;0;1;0;1
20435;1;0;0;0;0;0
7333;1;1;1;1;0;1
12663;0;1;1;1;0;0
6313;1;1;1;1;1;1
12723;1;0;1;0;0;0
23110;0;0;0;1;0;1
22057;0;1;0;0;0;1
18201;0;0;0;0;1;0
19145;0;0;0;0;0;1
13886;1;1;0;1;0;1
21142;0;0;0;1;0;1
19180;0;0;0;0;0;1
6878;1;1;1;1;1;1
15564;0;1;0;1;0;1
2413;1;1;1;1;0;1
18768;1;0;0;0;0;0
15121;0;0;0;1;0;0
4208;1;1;1;1;0;1
3446;1;1;1;1;1;1
14709;0;1;0;0;0;1
19396;0;0;0;0;1;0
22584;0;1;0;1;0;0
5471;1;1;1;1;1;1
22088;0;1;0;1;0;0
11407;1;1;1;1;0;1
16397;0;1;0;1;0;1
22056;0;1;0;0;0;1
18992;0;0;0;0;0;1
10260;1;1;1;1;1;1
4031;1;1;1;1;1;1
704;1;1;1;1;1;1
23050;0;0;0;1;0;1
14766;0;0;0;1;0;1
10525;0;1;1;1;0;1
14237;0;0;1;0;0;0
21706;0;0;1;0;0;1
11999;1;0;1;1;1;1
4705;1;1;1;1;1;1
4696;1;1;1;1;0;1
14594;0;1;0;0;0;1
21663;0;0;1;0;1;0
8523;1;1;1;1;1;1
18188;0;0;0;0;1;0
6934;1;1;1;1;1;1
7729;0;1;0;1;0;1
16991;0;1;0;1;0;1
7324;1;1;1;1;0;1
5813;1;1;1;1;1;1
12258;1;1;1;1;0;1
7151;0;1;1;1;1;1
11115;1;1;1;1;0;1
8399;1;1;1;1;1;1
18657;0;0;0;0;1;0
503;0;1;0;1;0;1
17035;0;1;0;1;0;1
17544;0;1;0;1;0;1
12187;1;1;1;1;0;1
11394;1;1;0;1;1;1
5382;1;1;1;1;0;1
13004;0;1;0;1;0;1
13261;0;1;0;1;0;1
16894;0;1;0;1;0;1
17418;0;1;0;1;0;1
9901;1;1;1;1;1;1
22901;0;0;0;1;0;1
10346;1;1;1;1;1;1
4061;1;1;1;1;1;1
18643;1;0;0;0;0;0
8006;1;1;1;1;1;1
7331;0;1;1;1;1;1
22567;0;1;0;1;0;0
23021;0;0;0;1;0;1
1695;1;1;1;1;0;1
14502;0;0;1;0;1;0
6421;1;1;1;1;1;1
10051;1;1;1;1;1;1
6419;0;1;0;1;0;1
12309;1;1;1;1;0;1
9947;1;1;1;1;1;1
5075;1;1;1;1;1;1
19822;0;0;0;1;0;0
17807;0;0;0;1;0;0
2437;0;1;1;1;0;1
13731;0;1;1;1;0;1
3598;1;1;1;1;1;1
8080;1;1;1;1;1;1
14053;0;0;0;0;1;0
18742;1;0;0;0;0;0
15064;0;0;0;1;0;0
8442;1;1;1;1;1;1
10700;1;1;0;1;0;1
2010;1;1;1;1;1;1
21599;0;0;1;0;1;0
8461;1;1;1;1;1;1
6394;1;1;1;1;1;1
10678;0;1;1;1;0;1
11644;0;1;1;1;1;1
20260;1;0;0;0;0;0
7528;1;1;1;1;0;1
8163;1;1;1;1;1;1
16911;0;1;0;1;0;1
12844;0;0;0;0;0;1
2924;0;0;0;1;0;0
18559;1;0;0;0;0;0
11679;1;1;1;0;1;1
1171;1;1;1;1;1;1
13961;0;1;0;1;1;1
15566;0;1;0;1;0;1
18290;0;0;0;0;1;0
1797;1;1;1;1;1;1
15224;0;0;0;0;0;1
23029;0;0;0;1;0;1
3516;1;1;1;1;1;1
10691;1;0;1;0;1;0
483;1;1;1;1;1;1
20055;0;0;0;1;0;0
18677;1;0;0;0;0;0
1777;1;1;1;1;1;1
12503;0;1;0;1;0;0
5063;1;1;1;1;1;1
2689;1;1;1;1;1;1
6400;0;0;0;0;0;1
150;1;1;1;1;1;1
9757;1;1;1;1;1;1
10085;1;1;1;1;1;1
10650;0;1;1;1;0;1
16864;0;1;0;1;0;1
10491;0;1;0;1;0;1
18791;1;0;0;0;0;0
6276;1;1;1;1;1;1
11096;1;1;1;1;0;1
12490;0;1;0;1;0;1
15497;0;1;0;1;0;1
4005;1;1;1;1;1;1
2966;1;1;1;1;1;1
1673;1;1;1;1;1;1
14021;0;1;0;1;1;1
3570;1;1;1;1;1;1
10630;0;1;1;1;0;1
8628;1;1;1;1;1;1
3616;1;1;0;1;1;1
17705;0;0;0;1;0;0
9133;1;1;1;1;1;1
5019;1;1;1;1;1;1
20152;0;0;0;1;0;0
9961;1;1;1;1;1;1
7961;1;1;1;1;1;1
1717;1;1;1;1;1;1
19394;0;0;0;0;1;0
16781;0;1;0;1;0;1
8018;1;1;1;1;1;1
14209;0;0;1;0;0;0
15917;0;0;1;1;0;1
3122;1;1;1;1;0;1
3130;1;1;1;1;1;1
2507;1;1;1;1;1;1
22884;0;0;0;1;0;1
19952;0;0;0;0;1;0
11214;1;1;1;1;0;1
21539;0;0;1;0;0;1
14685;0;0;0;0;0;1
15107;0;0;0;1;0;0
15759;0;1;0;1;0;1
2802;1;1;1;1;1;1
10199;1;1;1;1;1;1
842;1;1;1;1;1;1
12462;0;1;0;1;0;0
14786;0;0;0;0;1;0
15753;0;1;0;1;0;1
6708;1;1;1;1;1;1
9236;1;1;1;1;1;1
147;1;1;1;1;1;1
14827;0;1;0;0;0;0
5503;1;1;1;1;1;1
12168;1;1;1;1;0;1
8227;1;1;1;1;1;1
22657;0;0;0;1;0;1
22839;0;0;0;1;0;1
1341;1;1;1;1;1;1
13337;1;0;0;0;0;0
3327;1;1;1;1;1;1
11525;1;1;1;1;0;1
13409;1;1;0;1;0;1
14023;0;1;0;1;0;1
7848;0;1;0;1;0;1
7564;1;0;1;1;1;1
7209;1;1;1;1;0;1
12836;0;1;0;1;0;1
379;1;1;1;1;1;1
940;1;1;1;1;1;1
11373;0;1;1;1;1;1
15404;0;1;0;1;0;1
11552;1;1;1;1;0;1
2573;1;1;1;1;1;1
4174;1;1;1;1;1;1
3134;1;1;1;1;0;1
12323;0;1;1;1;1;1
1836;0;1;0;0;0;0
10466;0;0;0;0;1;0
7041;1;1;1;1;1;1
3004;1;1;1;1;1;1
11068;1;0;0;0;0;0
3999;1;1;1;1;1;1
12556;0;0;1;0;0;0
17640;0;1;0;1;0;1
6120;1;1;1;1;1;1
23035;0;0;0;1;0;1
7349;0;1;1;1;1;1
22187;0;1;0;1;0;0
14572;0;1;0;0;0;1
10898;0;0;1;1;1;1
8098;1;1;1;1;1;1
18197;0;0;1;0;0;0
387;1;1;1;1;1;1
5401;1;1;1;1;1;1
22928;0;0;0;1;0;1
12240;1;1;1;1;0;1
18864;0;0;0;0;1;0
22955;0;0;0;1;0;1
3554;1;1;1;1;1;1
478;1;1;1;1;1;1
15176;1;0;0;0;0;0
18110;0;0;1;0;0;0
9898;0;1;1;1;1;1
11133;1;1;1;1;0;1
6911;1;1;1;1;1;1
2889;0;0;0;1;1;1
9936;1;1;1;1;1;1
11604;0;1;1;1;1;1
18934;0;0;0;0;0;1
515;1;1;1;1;1;1
9753;1;1;1;1;1;1
19238;0;0;0;0;0;1
21138;0;0;0;1;0;1
17958;0;0;1;0;0;0
4840;1;1;1;1;1;1
11681;0;1;1;1;1;1
23089;0;0;0;1;0;1
1218;1;1;1;1;1;1
12665;0;0;1;0;0;0
6047;1;1;1;1;1;1
3036;1;1;1;1;1;1
1897;1;1;1;1;1;1
4383;1;1;1;1;1;1
6497;1;1;1;1;1;1
13268;0;0;0;1;0;0
803;1;1;1;1;1;1
22838;0;0;0;1;0;1
3910;1;1;1;1;1;1
18558;1;0;0;0;0;0
10058;1;1;1;1;1;1
15435;0;1;0;1;0;1
4815;1;0;1;0;1;0
621;1;1;1;1;1;1
12907;0;1;0;1;0;1
2663;1;1;1;1;1;1
16634;0;1;0;1;0;1
13345;1;0;0;0;0;0
2324;0;1;0;1;0;1
751;1;0;1;0;1;0
7231;1;1;1;1;0;1
16917;0;1;0;1;0;1
3082;1;0;1;0;1;0
6055;1;1;1;1;1;1
3462;1;1;1;1;1;1
1508;1;1;1;1;1;1
16589;0;1;0;1;0;1
15675;0;1;0;1;0;1
22983;0;0;0;1;0;1
15788;0;1;0;1;0;1
8682;1;1;1;1;1;1
1556;0;1;1;1;0;1
15948;1;0;1;0;1;0
5893;1;1;1;1;1;1
18812;1;0;0;0;0;0
21450;0;0;1;0;1;0
4736;1;1;1;1;0;1
2624;1;1;1;1;1;1
7694;0;1;0;1;0;1
12211;0;1;1;1;1;1
10230;1;1;1;1;1;1
7167;1;1;1;1;0;1
22030;0;1;0;0;0;1
17253;0;1;0;1;0;1
18681;1;0;0;0;0;0
5990;1;1;1;1;1;1
4711;1;1;1;1;1;1
15438;0;1;0;1;0;1
2956;1;1;1;1;1;1
19337;0;0;0;0;0;1
15733;0;1;0;1;0;1
20841;0;0;0;1;0;0
21017;0;0;0;1;0;0
2575;1;1;1;1;1;1
9427;1;1;1;1;1;1
7123;0;0;0;1;0;0
3547;1;1;1;1;1;1
20297;1;0;0;0;0;0
4049;1;1;1;1;1;1
16219;0;1;0;1;0;1
21050;0;0;0;1;0;0
22111;0;1;0;1;0;0
21586;0;0;1;0;0;1
14929;0;1;0;0;0;0
2396;1;1;1;1;1;1
22684;0;0;0;1;0;1
1278;1;1;1;1;1;1
6095;1;1;1;1;1;1
22560;0;1;0;1;0;0
